round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
20,42,0.5,uniform,0.5020609041321378,0.1518644564655941,0.4645667615072738,0.1003172367710012,0.5461598600392,0.2094139067601991,0.2094139067601991,0.2094139067601991,0.7861049484998378,0.3974091886302789,1.3448524821273105,0.4486971743502471,5.9,,,,1.1625300645828247,0.6298609375953674,0.6709387898445129
21,42,0.5,uniform,0.5304649779581555,0.1722298391600588,0.5241827581692251,0.1311026003835384,0.5405476410464154,0.2147412395376451,0.2147412395376451,0.2147412395376451,0.7878946721814085,0.3976104149521698,1.3473532910430277,0.4492363229589171,6.0,0.0312798582017421,-0.2037778943777084,-0.0006960845203138,1.1601048707962036,0.62953120470047,0.6702245473861694
22,42,0.5,uniform,0.5385224133737184,0.1565139908379293,0.4913690789816822,0.1020858583864918,0.5417654297184235,0.2200685723150911,0.2200685723150911,0.2200685723150911,0.7883582639642157,0.3980200809943103,1.3479188948739564,0.4489938209410838,6.0,,,,1.163513422012329,0.6312975287437439,0.6702679991722107
23,42,0.5,uniform,0.4972035346921639,0.1411106807242786,0.5650717265354651,0.1428092851544602,0.545302185626365,0.225381071463911,0.225381071463911,0.225381071463911,0.7847504097821931,0.3969224228739217,1.3459241476121429,0.4476290311355257,6.0,,,,1.1629494428634644,0.631832480430603,0.6684653759002686
24,42,0.5,uniform,0.5644432393347795,0.166434421628423,0.5236681068388487,0.1078207413151533,0.5453426538195362,0.2305927884220346,0.2305927884220346,0.2305927884220346,0.7876110523288427,0.3971762193212342,1.3511509135300417,0.4482134334645417,5.9,,,,1.1657154560089111,0.6308261752128601,0.6695109009742737
25,42,0.5,uniform,0.564270386623616,0.1657858051846705,0.5642292311311365,0.1352047337085176,0.547189851220222,0.2357074909453622,0.2357074909453622,0.2357074909453622,0.784409021446278,0.3974429946799466,1.3418184091951129,0.4481283478341248,5.9,,,,1.160654067993164,0.631531298160553,0.6671949625015259
26,42,0.5,uniform,0.5140160640562992,0.147091812102685,0.4731029483613651,0.1014724496471174,0.5477281961510935,0.2407292082262246,0.2407292082262246,0.2407292082262246,0.7903664421826991,0.397126033641886,1.360241987038908,0.4477245512227304,6.0,0.0006342308479361,-0.2656228840351105,-0.0001126428469433,1.162747502326965,0.6299633979797363,0.6688947677612305
27,42,0.5,uniform,0.516522636624449,0.156215033580889,0.4822527784253053,0.106537728674158,0.5445846976703492,0.2456622543761807,0.2456622543761807,0.2456622543761807,0.7844905681485171,0.3966152174113619,1.346446429537894,0.4476021184671394,6.0,,,,1.1611143350601196,0.6329496502876282,0.6686543822288513
28,42,0.5,uniform,0.5076621649989503,0.1445996938527065,0.561513873232915,0.1297999115322889,0.5490034868194538,0.2505112544735475,0.2505112544735475,0.2505112544735475,0.7875856090841336,0.3967487600562874,1.3526459044764656,0.4481635048139564,6.0,,,,1.160583257675171,0.631827175617218,0.6669092178344727
29,42,0.5,uniform,0.5082706898447574,0.1438384420846187,0.5446703517192121,0.1197027586505491,0.5492143522771689,0.2552811735067137,0.2552811735067137,0.2552811735067137,0.7884013374299461,0.3969678413529584,1.3569525259030435,0.4472117146810589,6.0,,,,1.1635862588882446,0.6310988664627075,0.6684868335723877
30,42,0.5,uniform,0.510105427658433,0.1487013909477711,0.5538952240143655,0.1712249875540873,0.5478747866095995,0.2599773485954477,0.2599773485954477,0.2599773485954477,0.7867885783770199,0.3968608760026865,1.3522751422428148,0.4474188097179196,6.0,,,,1.1650243997573853,0.6285348534584045,0.6696837544441223
31,42,0.5,uniform,0.509519394490705,0.1460284098511577,0.5264781989012967,0.1330990031864088,0.5447317585195786,0.2646055249295332,0.2646055249295332,0.2646055249295332,0.7866413567264007,0.3977491932404614,1.3459033721399098,0.4484466877826957,6.0,-0.0009642638615332,-0.499063491821289,0.0039205667562782,1.1586856842041016,0.6303766965866089,0.6693549156188965
