model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL,123,11,0.7225957782247702,0.3501689396961287,1.360663364027265,0.4432284657611597,5.6,1.1655185222625732,0.5948972702026367,0.6668611764907837,0.742225376610654,0.35723984298937744,0.49269535728085284,0.09709122756151382,0.58341727304053
VFL-MTL,123,12,0.710729737859626,0.3495568290808315,1.3366153047594962,0.4413727337095935,5.6,1.1580623388290405,0.5931508541107178,0.6650475263595581,0.7644838076578333,0.37646369523373535,0.6052251745929358,0.1359064676549396,0.5823571212264471
VFL-MTL,123,13,0.712602944483403,0.3492595894367934,1.3447568770579374,0.44077104069780576,5.6,1.1596043109893799,0.5922040343284607,0.6634160876274109,0.759559796208736,0.3829528948878344,0.6171909510777874,0.13421580448353,0.5847651843144582
VFL-MTL,123,14,0.6977510138630346,0.3506097840429914,1.2973409289876447,0.4417463831245639,5.6,1.141935110092163,0.5930250287055969,0.6649720072746277,0.7750357367773925,0.3846139866948738,0.6906556987921926,0.18106569167657793,0.5798663720853101
VFL-MTL,123,15,0.6728087745639435,0.34349828333833854,1.2622285172928889,0.4408262049266865,5.6,1.1270380020141602,0.5885820984840393,0.66256183385849,0.7652385284111546,0.39356328713107364,0.7023814465800434,0.19460153013893416,0.588768925417723
VFL-MTL,123,16,0.6621441385631478,0.34206121802069733,1.2422907706431425,0.4403439701644614,5.6,1.1195979118347168,0.5856653451919556,0.6637499332427979,0.7780662821422742,0.41328098600864793,0.6894454432334792,0.1775557181638051,0.5885166786485625
VFL-MTL,123,17,0.66709810768673,0.34346856290726685,1.2487550419490931,0.44064806954829455,5.6,1.1183499097824097,0.5864202380180359,0.663523256778717,0.7813925514226403,0.4127843546526091,0.7053256566727446,0.1901628221373995,0.5847683584201688
VFL-MTL,123,18,0.6520503967609989,0.3378390201965274,1.2307363589778217,0.4410287957784911,5.6,1.1115227937698364,0.5828457474708557,0.662190854549408,0.7733571911725994,0.4129271035261238,0.686205321931172,0.17796970769816334,0.5885249489060985
VFL-MTL,123,19,0.657633224038578,0.3407217397570089,1.2359981370284567,0.44038806497790406,5.6,1.1102720499038696,0.5838975310325623,0.6628274321556091,0.7796631912858909,0.41975735643942924,0.6931411400671228,0.18950880258329625,0.5839025154263661
VFL-MTL,123,20,0.6481394655839845,0.33741049637700793,1.223963946234191,0.4406254514075783,5.6,1.1048990488052368,0.5833482146263123,0.6642751097679138,0.7807111368793546,0.43348055096039817,0.7031409165370724,0.19798830891872413,0.5887562761522268
VFL-MTL,123,21,0.6458023052548737,0.33881688365249135,1.215978829100663,0.43962799097252725,5.6,1.1017742156982422,0.5826365351676941,0.6636846661567688,0.7766759632269394,0.4242684978795558,0.6704996748169981,0.1823766656500449,0.5877978972129767
VFL-MTL,123,22,0.6436645362574981,0.3341938178482014,1.2280103072328858,0.43942580863377934,5.6,1.1065146923065186,0.5784436464309692,0.6659173965454102,0.7751315346655071,0.4306077250359627,0.6949911173415678,0.19702852337724414,0.5913000646360248
VFL-MTL,123,23,0.6398557781132027,0.33575705982191595,1.2118607129592562,0.4398842735061479,5.6,1.1026266813278198,0.57993084192276,0.6631000638008118,0.7888872783736683,0.4315322349167533,0.6905801243465738,0.1998586309861322,0.5954807724654877
VFL-MTL,123,24,0.644953500105304,0.3356895118821656,1.2248874361338054,0.4397369145566199,5.6,1.1042449474334717,0.5791282653808594,0.664165198802948,0.7817449210458798,0.44302443873359226,0.6860328844637036,0.1840946949119603,0.5968022513605529
VFL-MTL,123,25,0.6366796812376081,0.33228019081609217,1.2190435864519344,0.43907277813124346,5.6,1.1038212776184082,0.57624751329422,0.6606034636497498,0.79236099309922,0.4341461453212682,0.6874091909170161,0.186065173938571,0.5954047523063999
VFL-MTL,123,26,0.638479443486601,0.33213271428403895,1.2251856056363302,0.4386410368321764,5.6,1.1043572425842285,0.5766928791999817,0.6600759625434875,0.7836475504063496,0.43538288341175657,0.697668155802574,0.19520655247503885,0.5970117228210724
VFL-MTL,123,27,0.638393973939804,0.3330685193752097,1.2197740994166077,0.4392422558699112,5.6,1.105708360671997,0.5768143534660339,0.6628007888793945,0.7821539363768739,0.42205835204492415,0.6933444459701258,0.1972590026494981,0.5986828401081149
VFL-MTL,123,28,0.6320341396019449,0.33103208087677516,1.2153418126585183,0.43792163219514374,5.6,1.0990906953811646,0.5754305720329285,0.6607686281204224,0.7849678952121049,0.43798265806064063,0.6995575169430456,0.19771979769896203,0.5992501326213088
VFL-MTL,123,29,0.6399691220714536,0.33477574739784133,1.2173304302723646,0.43922625202278903,5.6,1.102710485458374,0.5784929394721985,0.659734845161438,0.77454258590988,0.43653919782848494,0.703961058936359,0.2067414931479432,0.6006664149105457
VFL-MTL,123,30,0.6315592777260526,0.33161200277149416,1.212179084011561,0.43794547001867834,5.6,1.1001828908920288,0.5759817957878113,0.6606742739677429,0.7748707978048123,0.4382262757603879,0.7053937801166826,0.20696793711245487,0.5941391596295044
VFL-MTL,123,31,0.6320764823251416,0.3322094918989198,1.2112305114883524,0.43795366852044015,5.6,1.1021827459335327,0.5763711929321289,0.6616550087928772,0.7867172479515911,0.4324288836881673,0.7179593622368332,0.2287698477439279,0.6040499590564891
VFL-MTL,123,32,0.6248341373220802,0.3288495323933889,1.2073002949552245,0.4374531558247112,5.6,1.0980342626571655,0.5752251148223877,0.6599738597869873,0.790094331763914,0.44427220628730874,0.697250899708453,0.19574805334886394,0.5923729775264157
VFL-MTL,123,33,0.6318070665977927,0.3316585824349041,1.2127916888378594,0.4378490886573708,5.6,1.1006717681884766,0.5747917890548706,0.6608807444572449,0.7929107896744871,0.4425921974219531,0.7094396740293207,0.2180742376191051,0.6003530478513749
VFL-MTL,123,34,0.6213835385428766,0.33025024636083294,1.1931049227714539,0.43778053667868067,5.6,1.0943564176559448,0.5764190554618835,0.6609742045402527,0.7878568263075996,0.4439780359321533,0.7114131250459034,0.2094485703331938,0.6011077400257293
VFL-MTL,123,35,0.6250026050353155,0.3279308255713059,1.2087319894128492,0.43829917022755055,5.6,1.0978672504425049,0.5738970637321472,0.6633278131484985,0.785195311068238,0.43183401027276486,0.6989848542424407,0.20824385919033137,0.6003621678392923
VFL-MTL,123,36,0.6130454322916972,0.327484250003594,1.1818339514940586,0.43826239051777205,5.6,1.0891627073287964,0.5726908445358276,0.6639459729194641,0.7915421294121175,0.4348270218223137,0.6887833685127055,0.19593781448068986,0.5959975819548664
VFL-MTL,123,37,0.6183671088458149,0.327658314632016,1.1957519306886664,0.4375466814988565,5.6,1.092711329460144,0.5719413161277771,0.6624119281768799,0.7943427598455237,0.4508374307047887,0.711459959913611,0.21898480206760884,0.5988672035124896
VFL-MTL,123,38,0.6150259250636705,0.32586702418119107,1.193346307267268,0.4379684081764721,5.6,1.094415545463562,0.5709181427955627,0.6604700088500977,0.7808627474501101,0.4469508745149029,0.7141572225220363,0.22155409219984293,0.5987606227928604
