model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL,123,40,1.9693501937857882,0.3314796287940579,1.2005403926799392,0.43733017426390836,5.6,0.7688788481595142,0.4347963926327124,0.6881989970951738,0.19257191132162033,0.6022627445395292
VFL-MTL,123,41,1.9695787195555507,0.33169669700241505,1.2007375687490904,0.4371444541293981,5.6,0.783148568363039,0.4356226867134138,0.6915381102769537,0.20239239119095076,0.5992799362209704
VFL-MTL,123,42,1.9725867832591961,0.32904767417491265,1.2056848274047718,0.43785427959725326,5.6,0.7778513616628514,0.43871471046529237,0.697718183956716,0.21191378972277347,0.604030475694695
VFL-MTL,123,43,1.9770771868884824,0.3299604122685553,1.2106368887892978,0.4364798883683817,5.6,0.7811784639683317,0.4313605519409046,0.7003739338414917,0.2038648592994423,0.6048989947583968
VFL-MTL,123,44,1.9548298573389844,0.32687477240395857,1.1909762014468164,0.43697887997439855,5.6,0.7736554141634262,0.42586976474724236,0.6950858515057942,0.19952701472304724,0.6033040840622997
VFL-MTL,123,45,1.9712697408084785,0.32816626404830984,1.2069957162615514,0.43610776668032186,5.6,0.7876127499491855,0.4404401481049968,0.6819625086884001,0.18757422107175623,0.6040081800417698
VFL-MTL,123,46,1.970828661231495,0.3266015831039462,1.2070953872006012,0.4371316948311818,5.6,0.783815821479386,0.42158288858270115,0.6958043409535791,0.19496628965894644,0.6038090181623559
VFL-MTL,123,47,1.9549071960574154,0.3270551985267989,1.1915641466082443,0.43628785742942944,5.6,0.7841190426208969,0.4340516747286699,0.7006464276172442,0.20941234299318645,0.6060013510153358
VFL-MTL,123,48,1.9564636279401821,0.3269457725328129,1.1931799009897823,0.43633795148941107,5.6,0.7875685996181413,0.4479258912099897,0.6947856825809418,0.2130680622410559,0.60354616480728
VFL-MTL,123,49,1.9569011676780002,0.32789386756815764,1.1915273640353607,0.4374799377012461,5.6,0.7936296903479048,0.43345996465404923,0.6948346463062725,0.20180042116721275,0.6058866005563982
VFL-MTL,123,50,1.9716359267588786,0.3270137649045761,1.2074554893127174,0.4371666724765145,5.6,0.7936600957645672,0.44615893858807465,0.6866757994658697,0.1908384092438964,0.6031337808322991
VFL-MTL,123,51,1.9582414627075195,0.3295694594820514,1.1917305377893572,0.43694146153187646,5.6,0.7959496652905091,0.4440052453445087,0.6936627101847742,0.20090753459439217,0.6085896046545016
VFL-MTL,123,52,1.940815926118709,0.3276938637921904,1.177002890401532,0.4361191783669734,5.6,0.7810310185231464,0.43780227085433293,0.6964440626693107,0.19974785286584149,0.6082315363574895
VFL-MTL,123,53,1.9445372918807784,0.32791294996915427,1.1811242618935598,0.4355000848332867,5.6,0.7693461752484914,0.42871884764892004,0.7035150632643264,0.20125459717944671,0.6059083959694367
VFL-MTL,123,54,1.951798006957275,0.32734741530824435,1.1895113847661747,0.4349392040848211,5.6,0.7804624788828133,0.4359246124666727,0.6950198569194792,0.1986600687423679,0.6074842440932382
VFL-MTL,123,55,1.9635425988243136,0.32503582511145995,1.2030446461715032,0.435462117715694,5.6,0.7796448647333821,0.4356801368948041,0.7001301796436505,0.19757970240924383,0.6071927256597323
VFL-MTL,123,56,1.9269635083894021,0.32509179484896267,1.1663929067844907,0.4354788137835707,5.6,0.7716453245632449,0.429898745729394,0.6974201438894867,0.1989358210386697,0.6038105762937473
VFL-MTL,123,57,1.9449510855445695,0.32309491128770546,1.1863565403301122,0.4354996379285921,5.6,0.7871229311821294,0.4346543664119275,0.7015533209646705,0.20126011301659866,0.6076456352432921
VFL-MTL,123,58,1.9327080728705794,0.3240367839169815,1.1728248864282167,0.4358463948470536,5.6,0.7839632669245713,0.43245846135451455,0.7018513610318999,0.2066959016501558,0.6079474876562494
VFL-MTL,123,59,1.950986401482961,0.32612479234106156,1.1904719183018113,0.43438968843247694,5.6,0.7792908290599145,0.42281707205069574,0.6999444368160379,0.20423554697932775,0.6082311287542127
VFL-MTL,123,60,1.9465892752185139,0.3245777470185767,1.1868207701949574,0.4351907553370863,5.6,0.7855335192645387,0.42981873478463545,0.6948405006647357,0.199082295854572,0.6102459778040984
VFL-MTL,123,61,1.9453998309556053,0.3248183295846506,1.187097881038116,0.43348361415113423,5.6,0.7783128575760303,0.43863680414262557,0.7002313003807462,0.20325606188245154,0.6095714133792862
VFL-MTL,123,62,1.9424147293557246,0.32606829370994234,1.18095992121634,0.43538651560071256,5.6,0.7823496972786737,0.424003499636316,0.7032478916326316,0.20290720012890323,0.6068885502267797
VFL-MTL,123,63,1.924840634046163,0.32333627447290714,1.1664804095264085,0.43502395304009384,5.6,0.7679325316299634,0.40872882519724474,0.7026805510760842,0.2010301896075223,0.6081327955426492
VFL-MTL,123,64,1.929517407084136,0.3263389631520192,1.1696361449087551,0.4335423007802672,5.6,0.7853427565134233,0.4409683521177511,0.6950938347218807,0.2044423864601173,0.6105253937161591
VFL-MTL,123,65,1.9251026685581458,0.326227833870717,1.1652417771160342,0.4336330521054664,5.6,0.7839915897784487,0.4399878835440647,0.7072437573911275,0.20731874341297243,0.6123109576452138
VFL-MTL,123,66,1.91506688875923,0.3209781984444789,1.159069632598927,0.4350190687127509,5.6,0.7801546761031751,0.4375544253215943,0.7075141223092571,0.20741893244102383,0.6085830627686838
VFL-MTL,123,67,1.9248064282679662,0.3242725976559793,1.1658637960925373,0.43467002950901545,5.6,0.7783994921878905,0.4322176801589823,0.7074012928552345,0.21355434734806217,0.6110371612341892
VFL-MTL,123,68,1.9243467957692375,0.3194096929771931,1.170871509995523,0.43406559702610864,5.6,0.7800930322447361,0.43284976860363356,0.6999949971845858,0.20078904732553832,0.6127013478038972
VFL-MTL,123,69,1.9141404404910891,0.32000510407587324,1.1590700880929372,0.4350652496887607,5.6,0.7777538977245086,0.4272112673351105,0.7038013946146289,0.20212088592142713,0.6135074330587479
VFL-MTL,123,70,1.9163312823491325,0.3191258311922373,1.162992532596838,0.4342129082138361,5.6,0.78098020399119,0.4275316477442342,0.7034565196796921,0.2049341625507642,0.613192548332956
VFL-MTL,123,71,1.9190949451454862,0.31865173441614125,1.167736334831954,0.4327068777844375,5.6,0.7818294730949549,0.4148798018043396,0.7114328169789168,0.21029139037005368,0.6120146560608599
VFL-MTL,123,72,1.8987166324557174,0.3179939912396227,1.1473571699779628,0.4333654714984144,5.6,0.7799172639456734,0.4399200583453966,0.7131103567858933,0.20784528663171004,0.6151690391430253
VFL-MTL,123,73,1.88798685625651,0.31797773534163637,1.1368666733716772,0.43314244601403784,5.6,0.786468173442493,0.442812024293491,0.7071916003793624,0.20707508636104466,0.618397861177458
VFL-MTL,123,74,1.904039303288189,0.3189468806747786,1.1523883886732909,0.4327040344606841,5.6,0.7851644891390186,0.4398902288432335,0.7098473502641381,0.20756481704932866,0.6121221508766069
VFL-MTL,123,75,1.906490189019249,0.3166656585239427,1.1567469286085736,0.4330775992839097,5.6,0.7740206956759333,0.43514822037833983,0.7162243432740341,0.21681798321208312,0.6151164033171426
VFL-MTL,123,76,1.8955821053950548,0.3165492198743154,1.1458650538494493,0.43316784292849914,5.6,0.7812376087514286,0.42117882684213015,0.7110985863320953,0.21341188604306488,0.6153165148051349
VFL-MTL,123,77,1.8981777955350918,0.31732078846625367,1.1476545130842117,0.43320249860463705,5.6,0.7795365714685566,0.4200096585902043,0.6979470361511957,0.20532446149140116,0.6140769289278686
VFL-MTL,123,78,1.8889313691568166,0.32269376952315004,1.1337354584031751,0.43250213556935174,5.6,0.7809227252583213,0.42959603698949617,0.714112516511952,0.2175802312789761,0.6147879799151955
