n_sites,seed,convergence_round,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
3,123,32,28,0.6320341396019449,0.33103208087677516,1.2153418126585183,0.43792163219514374,5.5,1.0990906953811646,0.5754305720329285,0.6607686281204224,0.7849678952121049,0.43798265806064063,0.6995575169430456,0.19771979769896203,0.5992501326213088
3,123,32,29,0.6399691220714536,0.33477574739784133,1.2173304302723646,0.43922625202278903,5.5,1.102710485458374,0.5784929394721985,0.659734845161438,0.77454258590988,0.43653919782848494,0.703961058936359,0.2067414931479432,0.6006664149105457
3,123,32,30,0.6315592777260526,0.33161200277149416,1.212179084011561,0.43794547001867834,5.6,1.1001828908920288,0.5759817957878113,0.6606742739677429,0.7748707978048123,0.4382262757603879,0.7053937801166826,0.20696793711245487,0.5941391596295044
3,123,32,31,0.6320764823251416,0.3322094918989198,1.2112305114883524,0.43795366852044015,5.6,1.1021827459335327,0.5763711929321289,0.6616550087928772,0.7867172479515911,0.4324288836881673,0.7179593622368332,0.2287698477439279,0.6040499590564891
3,123,32,32,0.6248341373220802,0.3288495323933889,1.2073002949552245,0.4374531558247112,5.6,1.0980342626571655,0.5752251148223877,0.6599738597869873,0.790094331763914,0.44427220628730874,0.697250899708453,0.19574805334886394,0.5923729775264157
3,123,32,33,0.6318070665977927,0.3316585824349041,1.2127916888378594,0.4378490886573708,5.6,1.1006717681884766,0.5747917890548706,0.6608807444572449,0.7929107896744871,0.4425921974219531,0.7094396740293207,0.2180742376191051,0.6003530478513749
3,123,32,34,0.6213835385428766,0.33025024636083294,1.1931049227714539,0.43778053667868067,5.6,1.0943564176559448,0.5764190554618835,0.6609742045402527,0.7878568263075996,0.4439780359321533,0.7114131250459034,0.2094485703331938,0.6011077400257293
3,123,32,35,0.6250026050353155,0.3279308255713059,1.2087319894128492,0.43829917022755055,5.6,1.0978672504425049,0.5738970637321472,0.6633278131484985,0.785195311068238,0.43183401027276486,0.6989848542424407,0.20824385919033137,0.6003621678392923
3,123,32,36,0.6130454322916972,0.327484250003594,1.1818339514940586,0.43826239051777205,5.5,1.0891627073287964,0.5726908445358276,0.6639459729194641,0.7915421294121175,0.4348270218223137,0.6887833685127055,0.19593781448068986,0.5959975819548664
3,123,32,37,0.6183671088458149,0.327658314632016,1.1957519306886664,0.4375466814988565,5.5,1.092711329460144,0.5719413161277771,0.6624119281768799,0.7943427598455237,0.4508374307047887,0.711459959913611,0.21898480206760884,0.5988672035124896
3,123,32,38,0.6150259250636705,0.32586702418119107,1.193346307267268,0.4379684081764721,5.5,1.094415545463562,0.5709181427955627,0.6604700088500977,0.7808627474501101,0.4469508745149029,0.7141572225220363,0.22155409219984293,0.5987606227928604
3,123,32,39,0.6165079431502579,0.3285858504246416,1.1875114716817199,0.43773443821215735,5.5,1.0932981967926025,0.5722122192382812,0.6622206568717957,0.7928049954850038,0.44213455744897356,0.6986016598702887,0.2048861453595114,0.6033501564508285
3,123,32,40,0.6158118780263127,0.328195942736609,1.1881943561104187,0.4374072066300821,5.5,1.0952341556549072,0.573520302772522,0.6619350910186768,0.783994921878905,0.4511105104208932,0.7079079609695242,0.21070565505527486,0.6012308595357988
3,123,32,41,0.6157460094279077,0.3283649140310079,1.1889583387749685,0.43686179654046436,5.5,1.0926706790924072,0.5742501616477966,0.6591755747795105,0.7948992206217034,0.44043245493481,0.7016406041272163,0.21074682337289358,0.5971378350352601
3,123,32,42,0.6170849658256015,0.327713173810051,1.1925487474062557,0.43759658021697834,5.5,1.0929489135742188,0.5725942254066467,0.660871684551239,0.7854702093558718,0.45114666833028166,0.7114950860643916,0.22280930593068582,0.6023077192053232
3,123,32,43,0.6175811198340754,0.32678090833029894,1.2001278861120799,0.4364805757739138,5.6,1.0952868461608887,0.5738305449485779,0.6616870760917664,0.7915612889897405,0.4538455219185377,0.7158038938934783,0.2152637663216744,0.6053340437373332
3,123,32,44,0.6079986976484024,0.3274689856835328,1.1744653228589021,0.4366017012616953,5.6,1.0874688625335693,0.5737485885620117,0.6590828895568848,0.7798422916854099,0.44626065369595713,0.7135483692418394,0.21116340943435735,0.6029190204787931
3,123,32,45,0.6152141561414477,0.32885030962884687,1.1877475115409584,0.43618114845721484,5.6,1.088167428970337,0.5744657516479492,0.659955620765686,0.7892329837959955,0.44362812123167195,0.6993786929027079,0.19602832543994597,0.5987568686483776
3,123,32,46,0.6126208387347809,0.32591621538697374,1.188860829220068,0.4373987630725428,5.6,1.0921283960342407,0.5723288655281067,0.660774827003479,0.7907507555537785,0.4383392819607822,0.7154494390992379,0.2107621759308836,0.6072944906233048
3,123,32,47,0.6017752021681273,0.32460453442611026,1.1700202398425106,0.4366326139483389,5.6,1.0838497877120972,0.5706197619438171,0.6618446111679077,0.7847538077577962,0.440411335198317,0.7228312529072213,0.22516337134258085,0.6009954934114622
3,123,32,48,0.6034250985587007,0.32505396255759694,1.1720206956155435,0.43678678149219163,5.6,1.0850911140441895,0.5711091756820679,0.6621459722518921,0.796795185781261,0.4544045019958891,0.7076535624835678,0.21465116434937084,0.6053973146434874
3,123,32,49,0.6071103730576528,0.32766362718879916,1.1686381268188943,0.43776877972756933,5.5,1.0813382863998413,0.5732476115226746,0.662014365196228,0.7963486843201348,0.4547398142785032,0.7170258581691186,0.22210305699137292,0.602488058302487
3,123,32,50,0.6058788501279323,0.3251617968602993,1.1770558854377946,0.43688263252833004,5.6,1.083866000175476,0.5709403157234192,0.6598794460296631,0.7973683070597212,0.44803194762265725,0.7056886268974775,0.2094112120686718,0.600105609482571
3,123,32,51,0.5987881200802899,0.3237002437291708,1.167108515724865,0.43638390003333444,5.6,1.0799142122268677,0.5705388188362122,0.6611324548721313,0.7959175938236185,0.441266435354702,0.7193920834171571,0.2295984045224387,0.6080417381952201
3,123,32,52,0.5937918589885578,0.32510867044654995,1.1506539195385563,0.43632909317204005,5.6,1.075972080230713,0.5707060098648071,0.661206066608429,0.7952174362152671,0.4580192023498135,0.7159199166339355,0.2221436976030336,0.6061151508746108
