source,config,seed,epsilon,delta_m,eta_priv,eta_comm,pcmu,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc
privacy,eps_5.0,42,5.0,0.002021331707303129,0.8523527368710038,0.46373401623214006,-0.9473833960995899,0.803640986168451,0.6677891068484285,0.5777594560266825
privacy,eps_5.0,123,5.0,-0.014091403386793563,0.8186084409259438,0.4574248470388755,-1.3555425745513987,0.7944852071400249,0.5723236800284415,0.5860896832857478
privacy,eps_10.0,7,10.0,-0.010880202444457589,0.825901344972939,0.6523251860396901,-1.2205769497477599,0.8049709107630177,0.5854087034086204,0.5763121754601397
privacy,eps_10.0,42,10.0,0.0007028608134007286,0.8505512009600154,0.46373401623214006,-0.9785416180649511,0.8025255655407499,0.6521808549705099,0.5906573563747526
privacy,eps_10.0,123,10.0,0.0009453901610176747,0.8506528445778979,0.4574248470388755,-0.9750196521686028,0.7976365411464426,0.657693531785441,0.5943172464044243
privacy,eps_inf,7,inf,0.015893539250939927,0.8840692989515819,0.7722157040356383,-0.508175482199809,0.8001880970707504,0.7298767072107601,0.6223413541308773
privacy,eps_inf,42,inf,0.003327287078732297,0.8582477601830361,0.6931471805599453,-0.8454685146277701,0.8017125330294459,0.6500738181380799,0.6198410006931873
privacy,eps_inf,123,inf,0.014143652626462331,0.8794015850579405,0.5908683314395271,-0.6035654287257597,0.7991343203014885,0.7277233677250282,0.6112428682197543
dp_ablations_abl1,uniform_eps5,42,5.0,-0.03284473459020442,0.7761213414426102,,,0.7754928150331613,0.4887435247531511,0.5714175647942976
dp_ablations_abl1,uniform_eps5,123,5.0,-0.0272415093590581,0.7896042505945475,,,0.7812538381233112,0.5072533737118083,0.5851676223039122
dp_ablations_abl1,uniform_eps5,7,5.0,-0.023375716160161972,0.7984123562420758,,,0.7874831122574306,0.5237284498786329,0.5847937556972922
dp_ablations_abl1,stratified_eps5,42,5.0,-0.03333363560625859,0.7731449376995781,,,0.7720634518545811,0.5022920148883435,0.5535513555182419
dp_ablations_abl1,stratified_eps5,123,5.0,-0.035921928355726364,0.7687805359284305,,,0.7844327637558339,0.4762459478274015,0.5437144374667533
dp_ablations_abl1,stratified_eps5,7,5.0,-0.035926004189951635,0.7640309529937725,,,0.7720605732620979,0.5168591105763076,0.5078745757811984
dp_ablations_abl2,ihm_decomp,42,inf,,,,,,,
dp_ablations_abl2,ihm_decomp,123,inf,,,,,,,
dp_ablations_abl2,ihm_decomp,7,inf,,,,,,,
dp_ablations_abl2,ihm_pheno,42,inf,,,,,,,
dp_ablations_abl2,ihm_pheno,123,inf,,,,,,,
dp_ablations_abl2,ihm_pheno,7,inf,,,,,,,
dp_ablations_abl3,embed32_eps1,42,1.0,-0.03407919895174257,0.769419529109114,,,0.7671328275204841,0.5162527635233021,0.5356080962141732
dp_ablations_abl3,embed32_eps1,123,1.0,-0.03554685415844113,0.7678259559487098,,,0.7752964736380872,0.4941025321696997,0.5386786623843465
dp_ablations_abl3,embed32_eps1,7,1.0,-0.03899320309363194,0.7606883812557337,,,0.762352096391002,0.4746724486439709,0.5604153276005478
dp_ablations_abl3,embed32_eps5,42,5.0,-0.03197992548948051,0.7776829302180502,,,0.779464514796192,0.495388362174032,0.5619427458255288
dp_ablations_abl3,embed32_eps5,123,5.0,-0.039636402502720706,0.7619477629799696,,,0.7702175195177784,0.4483070791966969,0.5779794568401477
dp_ablations_abl3,embed32_eps5,7,5.0,-0.048119429895449616,0.7447651056310736,,,0.7792483447790983,0.3912047311731815,0.5654602907460304
dp_ablations_abl3,embed32_epsinf,42,inf,0.0030716926456704906,0.8522309122474809,,,0.7774273518798044,0.697015660941104,0.595537970301302
dp_ablations_abl3,embed32_epsinf,123,inf,0.011597831590226156,0.8736701894256961,,,0.7945785059527974,0.7163754921652717,0.6131080919556828
dp_ablations_abl3,embed32_epsinf,7,inf,0.012176000180581124,0.874906583202221,,,0.7954890024024446,0.7195049128711797,0.6121117198021885
dp_ablations_abl3,embed64_eps1,42,1.0,-0.07571918364533871,0.6482813830267827,,,0.5085747440113824,0.582289394776422,0.5535926324678232
dp_ablations_abl3,embed64_eps1,123,1.0,-0.09672369071564595,0.6012779817169615,,,0.4833049271769445,0.4844971265744232,0.5511167217549935
dp_ablations_abl3,embed64_eps1,7,1.0,-0.11038530020984853,0.5715153837974489,,,0.4828613413037176,0.4118807286228101,0.5316284841452399
